Thoi gian, Nhiet do, Muc Nuoc
2026-07-25 00:00:00,20.9,2.0
2026-07-25 00:00:00,20.2,2.0
2026-07-25 00:00:00,29.8,2.0
2026-07-25 00:00:00,21.5,2.0
2026-07-25 00:00:00,28.2,2.0
2026-07-25 00:00:00,29.4,2.0
2026-07-25 00:00:00,22.1,2.0
2026-07-25 00:00:00,28.4,2.0
2026-07-25 00:00:00,26.4,2.0
2026-07-25 00:00:00,20.3,2.0
2026-07-25 00:00:00,21.9,2.0
2026-07-25 00:00:00,23.8,2.0
2026-07-25 00:00:00,23.6,2.0
2026-07-25 00:00:00,29.4,2.0
2026-07-25 00:00:00,21.1,2.0
2026-07-25 00:00:00,24.5,2.0
2026-07-25 00:00:00,26.8,2.0
2026-07-25 00:00:00,26.0,2.0
2026-07-25 00:00:00,25.3,2.0
2026-07-25 00:00:00,27.1,2.0
2026-07-25 00:00:00,26.9,5.0
2026-07-25 00:00:00,29.0,5.0
2026-07-25 00:00:00,29.0,5.0
2026-07-25 00:00:00,28.2,5.0
2026-07-25 00:00:00,26.4,5.0
2026-07-25 00:00:00,20.2,5.0
2026-07-25 00:00:00,27.2,5.0
2026-07-25 00:00:00,29.1,5.0
2026-07-25 00:00:00,23.0,5.0
2026-07-25 00:00:00,26.8,5.0
2026-07-25 00:00:00,22.2,5.0
2026-07-25 00:00:00,20.4,5.0
2026-07-25 00:00:00,28.7,5.0
2026-07-25 00:00:00,20.4,5.0
2026-07-25 00:00:00,25.2,5.0
2026-07-25 00:00:00,21.4,5.0
2026-07-25 00:00:00,20.7,5.0
2026-07-25 00:00:00,24.2,5.0
2026-07-25 00:00:00,20.3,5.0
