Thoi gian, Nhiet do, Muc Nuoc
2026-07-16 00:00:00,26.1,17.0
2026-07-16 00:00:00,24.5,30.0
2026-07-16 00:00:00,27.8,22.0
2026-07-16 00:00:00,20.5,44.0
2026-07-16 00:00:00,24.9,24.0
2026-07-16 00:00:00,22.0,48.0
2026-07-16 00:00:00,24.4,29.0
2026-07-16 00:00:00,26.3,49.0
2026-07-16 00:00:00,29.7,22.0
2026-07-16 00:00:00,26.5,18.0
2026-07-16 00:00:00,24.7,20.0
2026-07-16 00:00:00,23.0,13.0
2026-07-16 00:00:00,29.4,24.0
2026-07-16 00:00:00,29.4,30.0
2026-07-16 00:00:00,28.0,28.0
2026-07-16 00:00:00,21.4,41.0
2026-07-16 00:00:00,21.6,13.0
2026-07-16 00:00:00,20.9,10.0
2026-07-16 00:00:00,24.0,45.0
2026-07-16 00:00:00,20.6,41.0
2026-07-16 00:00:00,27.6,37.0
2026-07-16 00:00:00,28.7,17.0
2026-07-16 00:00:00,29.8,34.0
2026-07-16 00:00:00,24.4,43.0
